HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"No 06-08 Pham Thieu Street Ward An Hai Bac, District Son Tra, Da Nang Vietnam",5,80,,,La Suite Hotel Da Nang,$37 ,$25 ,"$25, - ,$37","Which popular attractions are close to La Suite Hotel Da Nang?, ,What are some of the property amenities at La Suite Hotel Da Nang?, ,What food & drink options are available at La Suite Hotel Da Nang?, ,What are some restaurants close to La Suite Hotel Da Nang?, ,Does La Suite Hotel Da Nang have airport transportation?, ",,9 reviews,#317 of 900 hotels in Da Nang,3.5,,46,Very good,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d12206763-Reviews-La_Suite_Hotel_Da_Nang-Da_Nang.html
"K8/9 Ha Bong, Da Nang 550000 Vietnam",11,89,5,"English, Vietnamese",Ha Linh Apartment,$36 ,$16 ,"$16, - ,$36","Which popular attractions are close to Ha Linh Apartment?, ,What are some of the property amenities at Ha Linh Apartment?, ,Which room amenities are available at Ha Linh Apartment?, ,What food & drink options are available at Ha Linh Apartment?, ,Is parking available at Ha Linh Apartment?, ,What are some restaurants close to Ha Linh Apartment?, ,Does Ha Linh Apartment have an airport shuttle?, ,Does Ha Linh Apartment have airport transportation?, ,Are any cleaning services offered at Ha Linh Apartment?, ,Are pets allowed at Ha Linh Apartment?, ",5,,,,,81,,8,,1,https://www.tripadvisor.com/Hotel_Review-g17786366-d19254959-Reviews-Ha_Linh_Apartment-Son_Tra_Peninsula_Da_Nang.html
"56 Dinh Dat, Da Nang 550000 Vietnam",1,63,,,Smeraldo Hotel & Apartment,$47 ,$16 ,"$16, - ,$47","Which popular attractions are close to Smeraldo Hotel & Apartment?, ",,,,,,22,,Son Tra Peninsula,,,https://www.tripadvisor.com/Hotel_Review-g17786366-d19843993-Reviews-Smeraldo_Hotel_Apartment-Son_Tra_Peninsula_Da_Nang.html
"25 Phuoc My 1 Phuoc My, Da Nang 550000 Vietnam",2,79,,,Lem's Coffee And Apartment,$26 ,$16 ,"$16, - ,$26","Which popular attractions are close to Lem's Coffee And Apartment?, ,What are some of the property amenities at Lem's Coffee And Apartment?, ,Is parking available at Lem's Coffee And Apartment?, ,What are some restaurants close to Lem's Coffee And Apartment?, ,Does Lem's Coffee And Apartment have an airport shuttle?, ,Does Lem's Coffee And Apartment have airport transportation?, ",,,,,,37,,20,,,https://www.tripadvisor.com/Hotel_Review-g17786366-d19635195-Reviews-Lem_s_Coffee_And_Apartment-Son_Tra_Peninsula_Da_Nang.html
"299, Tran Hung Dao Son Tra District, Da Nang 550000 Vietnam",3,72,,"English, Vietnamese",OYO 327 Oasis Riverside Hotel Da Nang,$22 ,$10 ,"$10, - ,$22","Which popular attractions are close to OYO 327 Oasis Riverside Hotel Da Nang?, ,What are some of the property amenities at OYO 327 Oasis Riverside Hotel Da Nang?, ,Which room amenities are available at OYO 327 Oasis Riverside Hotel Da Nang?, ,What food & drink options are available at OYO 327 Oasis Riverside Hotel Da Nang?, ,Is parking available at OYO 327 Oasis Riverside Hotel Da Nang?, ,What are some restaurants close to OYO 327 Oasis Riverside Hotel Da Nang?, ,Does OYO 327 Oasis Riverside Hotel Da Nang have an airport shuttle?, ,Does OYO 327 Oasis Riverside Hotel Da Nang have airport transportation?, ",,10 reviews,#401 of 900 hotels in Da Nang,3.5,3.5 of 5 bubbles,24,Very good,20,,,https://www.tripadvisor.com/Hotel_Review-g298085-d7787317-Reviews-OYO_327_Oasis_Riverside_Hotel_Da_Nang-Da_Nang.html
"66 An Thuong 26 My An Ward, Ngu Hanh Son District, Da Nang Vietnam",5,79,12,"English, French, Chinese, Thai",Trang Ngan Hotel,$26 ,$10 ,"$10, - ,$26","Which popular attractions are close to Trang Ngan Hotel?, ,What are some of the property amenities at Trang Ngan Hotel?, ,Which room amenities are available at Trang Ngan Hotel?, ,What food & drink options are available at Trang Ngan Hotel?, ,Is parking available at Trang Ngan Hotel?, ,What are some restaurants close to Trang Ngan Hotel?, ,Does Trang Ngan Hotel have airport transportation?, ,Are any cleaning services offered at Trang Ngan Hotel?, ,Which languages are spoken by the staff at Trang Ngan Hotel?, ",7,10 reviews,#71 of 813 Specialty lodging in Da Nang,4.5,,85,Excellent,Da Nang,,4,https://www.tripadvisor.com/Hotel_Review-g298085-d12454069-Reviews-Trang_Ngan_Hotel-Da_Nang.html
"77 Tran Phu Hai Chau 1 Ward, Hai Chau District, Da Nang 0236 Vietnam",23,90,,"English, Vietnamese",RedDoorz Near Cau Song Han 2,$32 ,$12 ,"$12, - ,$32","Which popular attractions are close to RedDoorz Near Cau Song Han 2?, ,What are some of the property amenities at RedDoorz Near Cau Song Han 2?, ,Is parking available at RedDoorz Near Cau Song Han 2?, ,What are some restaurants close to RedDoorz Near Cau Song Han 2?, ,Does RedDoorz Near Cau Song Han 2 have an airport shuttle?, ",,10 reviews,#322 of 628 B&Bs / Inns in Da Nang,2.5,,91,Average,11,,,https://www.tripadvisor.com/Hotel_Review-g298085-d1987068-Reviews-RedDoorz_Near_Cau_Song_Han_2-Da_Nang.html
"347 - 349 Tran Hung Dao Son Tra District, Da Nang 550000 Vietnam",6,75,3,"English, Chinese",Legacy Hotel,$43 ,$12 ,"$12, - ,$43","Which popular attractions are close to Legacy Hotel?, ,What are some of the property amenities at Legacy Hotel?, ,Which room amenities are available at Legacy Hotel?, ,What food & drink options are available at Legacy Hotel?, ,Is parking available at Legacy Hotel?, ,What are some restaurants close to Legacy Hotel?, ,Are there opportunities to exercise at Legacy Hotel?, ,Does Legacy Hotel have an airport shuttle?, ,Does Legacy Hotel have airport transportation?, ,Are any cleaning services offered at Legacy Hotel?, ",3,10 reviews,#462 of 900 hotels in Da Nang,2.5,3.0 of 5 bubbles,28,Average,56,,2,https://www.tripadvisor.com/Hotel_Review-g298085-d12770453-Reviews-Legacy_Hotel-Da_Nang.html
"22 Bach Dang Thach Thang, Hai Chau, Da Nang 550000 Vietnam",13,85,5,,Kaka Hotel Da Nang,$40 ,$18 ,"$18, - ,$40","Which popular attractions are close to Kaka Hotel Da Nang?, ,What are some of the property amenities at Kaka Hotel Da Nang?, ,Which room amenities are available at Kaka Hotel Da Nang?, ,What food & drink options are available at Kaka Hotel Da Nang?, ,Is parking available at Kaka Hotel Da Nang?, ,What are some restaurants close to Kaka Hotel Da Nang?, ,Does Kaka Hotel Da Nang have airport transportation?, ,Are any cleaning services offered at Kaka Hotel Da Nang?, ,Are pets allowed at Kaka Hotel Da Nang?, ,Does Kaka Hotel Da Nang offer any business services?, ",6,10 reviews,#232 of 900 hotels in Da Nang,4.5,3.0 of 5 bubbles,63,Excellent,31,,5,https://www.tripadvisor.com/Hotel_Review-g298085-d14094412-Reviews-Kaka_Hotel_Da_Nang-Da_Nang.html
"25 My Khe 1 Son Tra, Da Nang 550000 Vietnam",1,75,10,,King House Villa Hotel,$40 ,$11 ,"$11, - ,$40","Which popular attractions are close to King House Villa Hotel?, ,What are some of the property amenities at King House Villa Hotel?, ,What food & drink options are available at King House Villa Hotel?, ,Is parking available at King House Villa Hotel?, ,What are some restaurants close to King House Villa Hotel?, ,Are there opportunities to exercise at King House Villa Hotel?, ,Does King House Villa Hotel have an airport shuttle?, ,Does King House Villa Hotel have airport transportation?, ,Are pets allowed at King House Villa Hotel?, ,Is King House Villa Hotel accessible?, ",64,12 reviews,#254 of 900 hotels in Da Nang,4.5,3.0 of 5 bubbles,32,Excellent,29,,1,https://www.tripadvisor.com/Hotel_Review-g298085-d15816453-Reviews-King_House_Villa_Hotel-Da_Nang.html
"43 Tran Bach Dang, My An, Da Nang 550000 Vietnam",6,68,10,,Kaluga Hotel,$19 ,$16 ,"$16, - ,$19","Which popular attractions are close to Kaluga Hotel?, ,What are some restaurants close to Kaluga Hotel?, ",10,2 reviews,#5 of 23 B&Bs / Inns in My An,4,2.0 of 5 bubbles,27,Very good,20,,3,https://www.tripadvisor.com/Hotel_Review-g15296807-d15153406-Reviews-Kaluga_Hotel-My_An_Da_Nang.html
"46 My Khe 2 Son Tra, Da Nang 550000 Vietnam",0,75,2,"English, Vietnamese",Lan Anh Boutique Motel,$29 ,$16 ,"$16, - ,$29","What are some of the property amenities at Lan Anh Boutique Motel?, ,What food & drink options are available at Lan Anh Boutique Motel?, ,Is parking available at Lan Anh Boutique Motel?, ,What are some restaurants close to Lan Anh Boutique Motel?, ",21,4 reviews,#334 of 900 hotels in Da Nang,4.5,2.0 of 5 bubbles,28,Excellent,10,"Quaint,Business",1,https://www.tripadvisor.com/Hotel_Review-g298085-d14199652-Reviews-Lan_Anh_Boutique_Motel-Da_Nang.html
"391 Tran Hung Dao, Da Nang 550000 Vietnam",8,80,,"English, Vietnamese",OYO 284 Diamond Hotel,$28 ,$16 ,"$16, - ,$28","Which popular attractions are close to OYO 284 Diamond Hotel?, ,Which room amenities are available at OYO 284 Diamond Hotel?, ,Is parking available at OYO 284 Diamond Hotel?, ,What are some restaurants close to OYO 284 Diamond Hotel?, ",,1 review,#240 of 813 Specialty lodging in Da Nang,4,,24,Very good,24,,,https://www.tripadvisor.com/Hotel_Review-g298085-d13326965-Reviews-OYO_284_Diamond_Hotel-Da_Nang.html
"Lot B33 Pham Van Dong, Da Nang Vietnam",2,71,,,Hoai Sang Hotel,$151 ,$16 ,"$16, - ,$151","Which popular attractions are close to Hoai Sang Hotel?, ,What are some of the property amenities at Hoai Sang Hotel?, ,What are some restaurants close to Hoai Sang Hotel?, ,Does Hoai Sang Hotel have airport transportation?, ",,6 reviews,#217 of 628 B&Bs / Inns in Da Nang,3.5,2.0 of 5 bubbles,21,Very good,17,,,https://www.tripadvisor.com/Hotel_Review-g298085-d8261083-Reviews-Hoai_Sang_Hotel-Da_Nang.html
"Lot D2 An Thuong 30, My An, Ngu Hanh Son, Da Nang 500000 Vietnam",8,74,1,"English, Vietnamese",Kien Cuong 1 Hotel,$34 ,$16 ,"$16, - ,$34","Which popular attractions are close to Kien Cuong 1 Hotel?, ,What are some of the property amenities at Kien Cuong 1 Hotel?, ,Which room amenities are available at Kien Cuong 1 Hotel?, ,What food & drink options are available at Kien Cuong 1 Hotel?, ,Is parking available at Kien Cuong 1 Hotel?, ,What are some restaurants close to Kien Cuong 1 Hotel?, ,Does Kien Cuong 1 Hotel have an airport shuttle?, ,Does Kien Cuong 1 Hotel have airport transportation?, ,Are any cleaning services offered at Kien Cuong 1 Hotel?, ",16,7 reviews,#87 of 628 B&Bs / Inns in Da Nang,4.5,3.0 of 5 bubbles,152,Excellent,47,,6,https://www.tripadvisor.com/Hotel_Review-g298085-d12570376-Reviews-Kien_Cuong_1_Hotel-Da_Nang.html
"388 Vo Nguyen Giap My An, Ngu Hanh Son, Da Nang 550000 Vietnam",3,66,49,,Chula Hotel,$23 ,$11 ,"$11, - ,$23","Which popular attractions are close to Chula Hotel?, ,Is parking available at Chula Hotel?, ",14,10 reviews,#214 of 900 hotels in Da Nang,5,3.0 of 5 bubbles,36,Excellent,25,"Budget,Business",2,https://www.tripadvisor.com/Hotel_Review-g298085-d15225219-Reviews-Chula_Hotel-Da_Nang.html
"02 Bui Huu Nghia Street, Da Nang Vietnam",8,87,,,Pi House,$31 ,$16 ,"$16, - ,$31","Which popular attractions are close to Pi House?, ,Which room amenities are available at Pi House?, ,What are some restaurants close to Pi House?, ",,1 review,#245 of 813 Specialty lodging in Da Nang,4,,72,Very good,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d12520859-Reviews-Pi_House-Da_Nang.html
"108 Cao Ba Quat, Da Nang 550000 Vietnam",9,80,,,Cents Hotel,$28 ,$17 ,"$17, - ,$28","Which popular attractions are close to Cents Hotel?, ,What are some of the property amenities at Cents Hotel?, ,What food & drink options are available at Cents Hotel?, ,What are some restaurants close to Cents Hotel?, ",,3 reviews,#121 of 813 Specialty lodging in Da Nang,5,2.0 of 5 bubbles,29,Excellent,8,Family,,https://www.tripadvisor.com/Hotel_Review-g298085-d13953686-Reviews-Cents_Hotel-Da_Nang.html
"51 Huynh Thuc Khang, Da Nang Vietnam",11,90,,,Anna Center Hotel,$21 ,$16 ,"$16, - ,$21","Which popular attractions are close to Anna Center Hotel?, ,What are some restaurants close to Anna Center Hotel?, ",,2 reviews,#278 of 813 Specialty lodging in Da Nang,3,2.0 of 5 bubbles,100,Average,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d17563349-Reviews-Anna_Center_Hotel-Da_Nang.html
"To 100 An Hai Bac, Da Nang Vietnam",23,61,,,Bao Apartment 2,$22 ,$16 ,"$16, - ,$22","Which popular attractions are close to Bao Apartment 2?, ",,,,,,128,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d19941389-Reviews-Bao_Apartment_2-Da_Nang.html
"38 Do Bi, Da Nang Vietnam",16,88,,,Viha Beach Apartments,$17 ,$16 ,"$16, - ,$17","Which popular attractions are close to Viha Beach Apartments?, ,What are some restaurants close to Viha Beach Apartments?, ",,8 reviews,#171 of 813 Specialty lodging in Da Nang,3.5,,119,Very good,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d10319094-Reviews-Viha_Beach_Apartments-Da_Nang.html
"40/7 Nguyen Thien Ke, Da Nang Vietnam",3,72,,,The Local Stay,$22 ,$16 ,"$16, - ,$22","Which popular attractions are close to The Local Stay?, ,What are some restaurants close to The Local Stay?, ",,1 review,#315 of 813 Specialty lodging in Da Nang,1,,24,Terrible,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d13847487-Reviews-The_Local_Stay-Da_Nang.html
"24-26 An Thuong 30 My An, Ngu Hanh Son, Da Nang 550000 Vietnam",8,74,11,,Yen Vy Hotel & Apartment,$43 ,$11 ,"$11, - ,$43","Which popular attractions are close to Yen Vy Hotel & Apartment?, ,What are some of the property amenities at Yen Vy Hotel & Apartment?, ,Which room amenities are available at Yen Vy Hotel & Apartment?, ,What food & drink options are available at Yen Vy Hotel & Apartment?, ,Is parking available at Yen Vy Hotel & Apartment?, ,What are some restaurants close to Yen Vy Hotel & Apartment?, ,Are there opportunities to exercise at Yen Vy Hotel & Apartment?, ",48,7 reviews,#402 of 900 hotels in Da Nang,3.5,3.0 of 5 bubbles,161,Very good,45,Business,6,https://www.tripadvisor.com/Hotel_Review-g298085-d15296573-Reviews-Yen_Vy_Hotel_Apartment-Da_Nang.html
"01 Le Van Huu Ma An Ward, Ngu Hanh Son, Da Nang Vietnam",1,74,,"English, Vietnamese",Cafe 1986 Hostel,$20 ,$18 ,"$18, - ,$20","Which popular attractions are close to Cafe 1986 Hostel?, ,What are some of the property amenities at Cafe 1986 Hostel?, ,What food & drink options are available at Cafe 1986 Hostel?, ,Is parking available at Cafe 1986 Hostel?, ,What are some restaurants close to Cafe 1986 Hostel?, ",,,,,,51,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d13370790-Reviews-Cafe_1986_Hostel-Da_Nang.html
"09 Duong Tu Quan, Da Nang 550000 Vietnam",0,,44,"English, Vietnamese",F5 Homestay & Coffee,$18 ,$12 ,"$12, - ,$18","Which popular attractions are close to F5 Homestay & Coffee?, ,What are some of the property amenities at F5 Homestay & Coffee?, ,Which room amenities are available at F5 Homestay & Coffee?, ,Is parking available at F5 Homestay & Coffee?, ,What are some restaurants close to F5 Homestay & Coffee?, ",45,,,,,0,,Da Nang,,2,https://www.tripadvisor.com/Hotel_Review-g298085-d17769252-Reviews-F5_Homestay_Coffee-Da_Nang.html
"C2, Lot 21, Pham Van Dong, Da Nang Vietnam",2,71,,Vietnamese,Avalon Hotel,$26 ,$16 ,"$16, - ,$26","Which popular attractions are close to Avalon Hotel?, ,What are some of the property amenities at Avalon Hotel?, ,Which room amenities are available at Avalon Hotel?, ,What food & drink options are available at Avalon Hotel?, ,Is parking available at Avalon Hotel?, ,What are some restaurants close to Avalon Hotel?, ,Does Avalon Hotel have an airport shuttle?, ,Does Avalon Hotel have airport transportation?, ,Is Avalon Hotel located near the city center?, ",,1 review,#318 of 628 B&Bs / Inns in Da Nang,1,,21,Terrible,22,,,https://www.tripadvisor.com/Hotel_Review-g298085-d6206407-Reviews-Avalon_Hotel-Da_Nang.html
"39 Ly Van To, Da Nang Vietnam",9,85,,,Connect Condotel,$33 ,$16 ,"$16, - ,$33","Which popular attractions are close to Connect Condotel?, ",,,,,,67,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d17588971-Reviews-Connect_Condotel-Da_Nang.html
"27 Nai Nam Hoa Cuong Bac, Hai Chau, Da Nang 550000 Vietnam",7,57,,,Minh Hung Apartment,$55 ,$17 ,"$17, - ,$55","Which popular attractions are close to Minh Hung Apartment?, ,What are some of the property amenities at Minh Hung Apartment?, ,Is parking available at Minh Hung Apartment?, ,What are some restaurants close to Minh Hung Apartment?, ",,,,,,25,,7,,,https://www.tripadvisor.com/Hotel_Review-g298085-d19717453-Reviews-Minh_Hung_Apartment-Da_Nang.html
"30 Duong K20, Da Nang 550000 Vietnam",0,,,,SPOT ON 780 Minh Huy Motel,$19 ,$16 ,"$16, - ,$19","Which popular attractions are close to SPOT ON 780 Minh Huy Motel?, ,What are some restaurants close to SPOT ON 780 Minh Huy Motel?, ",,,,,,0,,11,,,https://www.tripadvisor.com/Hotel_Review-g298085-d20109749-Reviews-SPOT_ON_780_Minh_Huy_Motel-Da_Nang.html
"334 - 336 Thuy Son 4, P. Hoa Hai, Q. Ngu Hanh Son, Da Nang 550000 Vietnam",19,63,,,Rose House - Thuy Son,$24 ,$16 ,"$16, - ,$24","Which popular attractions are close to Rose House - Thuy Son?, ",,,,,,233,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d19978894-Reviews-Rose_House_Thuy_Son-Da_Nang.html
"3 Xuan Tam, Da Nang 550000 Vietnam",0,63,,,Ly Apartment,$34 ,$16 ,"$16, - ,$34","What are some restaurants close to Ly Apartment?, ",,,,,,11,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d17631505-Reviews-Ly_Apartment-Da_Nang.html
"15A Phan Dinh Phung Hai Chau, Da Nang Vietnam",24,91,,,Hostel 15A,$16 ,$16 ,"$16, - ,$16","Which popular attractions are close to Hostel 15A?, ,What are some of the property amenities at Hostel 15A?, ,Is parking available at Hostel 15A?, ",,,,,,132,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d12664160-Reviews-Hostel_15A-Da_Nang.html
"45 An Thuong 3 My An, Da Nang 550000 Vietnam",9,74,,,Jang Motel,$20 ,$16 ,"$16, - ,$20","Which popular attractions are close to Jang Motel?, ,What are some of the property amenities at Jang Motel?, ,What food & drink options are available at Jang Motel?, ,What are some restaurants close to Jang Motel?, ,Does Jang Motel have airport transportation?, ",,,,,2.0 of 5 bubbles,153,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d15053110-Reviews-Jang_Motel-Da_Nang.html
"292 Ngo Quyen Son Tra, Da Nang 550000 Vietnam",8,75,,,Sunrise Sea Hotel & Apartment,$30 ,$16 ,"$16, - ,$30","Which popular attractions are close to Sunrise Sea Hotel & Apartment?, ,What are some of the property amenities at Sunrise Sea Hotel & Apartment?, ,Is parking available at Sunrise Sea Hotel & Apartment?, ,What are some restaurants close to Sunrise Sea Hotel & Apartment?, ,Does Sunrise Sea Hotel & Apartment have an airport shuttle?, ,Are any cleaning services offered at Sunrise Sea Hotel & Apartment?, ,Are pets allowed at Sunrise Sea Hotel & Apartment?, ",,,,,,30,,15,,,https://www.tripadvisor.com/Hotel_Review-g298085-d17714227-Reviews-Sunrise_Sea_Hotel_Apartment-Da_Nang.html
"70 -72 Loseby, Da Nang Vietnam",5,74,,,Golden Rose 3,$44 ,$16 ,"$16, - ,$44","Which popular attractions are close to Golden Rose 3?, ",,,,,3.5 of 5 bubbles,26,,Da Nang,,,https://www.tripadvisor.com/Hotel_Review-g298085-d17612896-Reviews-Golden_Rose_3-Da_Nang.html
"Nguyen Tat Thanh Street Hoa Hiep Nam Ward,, Lien Chieu, Da Nang Vietnam",0,,54,"English, Japanese, Vietnamese",Da Nang Mikazuki Japanese Resorts & Spa,$116 ,$42 ,"$42, - ,$116","Which popular attractions are close to Da Nang Mikazuki Japanese Resorts & Spa?, ,What are some of the property amenities at Da Nang Mikazuki Japanese Resorts & Spa?, ,Which room amenities are available at Da Nang Mikazuki Japanese Resorts & Spa?, ,What food & drink options are available at Da Nang Mikazuki Japanese Resorts & Spa?, ,Is parking available at Da Nang Mikazuki Japanese Resorts & Spa?, ,What are some restaurants close to Da Nang Mikazuki Japanese Resorts & Spa?, ,Are there opportunities to exercise at Da Nang Mikazuki Japanese Resorts & Spa?, ,Does Da Nang Mikazuki Japanese Resorts & Spa have airport transportation?, ,Does Da Nang Mikazuki Japanese Resorts & Spa offer any business services?, ,Which languages are spoken by the staff at Da Nang Mikazuki Japanese Resorts & Spa?, ",38,13 reviews,#1 of 7 hotels in Lien Chieu,4,,0,Very good,389,,22,https://www.tripadvisor.com/Hotel_Review-g16740551-d19434295-Reviews-Da_Nang_Mikazuki_Japanese_Resorts_Spa-Lien_Chieu_Da_Nang.html
"22 Phuoc Truong 9 S?n Trà, Da Nang 550000 Vietnam",3,78,1,,Martin Ho Hotel,60,Vietnam,"Vietnam,Da Nang,60","Which popular attractions are close to Martin Ho Hotel?, ,What are some of the property amenities at Martin Ho Hotel?, ,What food & drink options are available at Martin Ho Hotel?, ,What are some restaurants close to Martin Ho Hotel?, ,Are there opportunities to exercise at Martin Ho Hotel?, ",35,10 reviews,#309 of 900 hotels in Da Nang,3.5,3.0 of 5 bubbles,36,Very good,60,,5,https://www.tripadvisor.com/Hotel_Review-g298085-d13927889-Reviews-Martin_Ho_Hotel-Da_Nang.html
"115 Tran Phu Street, Da Nang Vietnam",12,90,,,Daisy Hotel Danang,10,Vietnam,"Vietnam,Da Nang,10","Which popular attractions are close to Daisy Hotel Danang?, ,What are some restaurants close to Daisy Hotel Danang?, ",,10 reviews,#256 of 628 B&Bs / Inns in Da Nang,3,,94,Average,10,,,https://www.tripadvisor.com/Hotel_Review-g298085-d3209233-Reviews-Daisy_Hotel_Danang-Da_Nang.html
"46 My Khe 4 Phuoc My Ward, Son Tra District, Da Nang 550000 Vietnam",3,79,20,"English, Vietnamese",Cavilla Hotel & Apartment,$30 ,$12 ,"$12, - ,$30","Which popular attractions are close to Cavilla Hotel & Apartment?, ,What are some of the property amenities at Cavilla Hotel & Apartment?, ,What food & drink options are available at Cavilla Hotel & Apartment?, ,Is parking available at Cavilla Hotel & Apartment?, ,What are some restaurants close to Cavilla Hotel & Apartment?, ,Does Cavilla Hotel & Apartment have an airport shuttle?, ,Does Cavilla Hotel & Apartment have airport transportation?, ,Are any cleaning services offered at Cavilla Hotel & Apartment?, ,Which languages are spoken by the staff at Cavilla Hotel & Apartment?, ",9,11 reviews,#54 of 628 B&Bs / Inns in Da Nang,4.5,3.0 of 5 bubbles,64,Excellent,13,,2,https://www.tripadvisor.com/Hotel_Review-g298085-d10450191-Reviews-Cavilla_Hotel_Apartment-Da_Nang.html
"486/16 Vo Nguyen Giap Khue My, Ngu Hanh Son, Da Nang 550000 Vietnam",5,60,,,Flower Apartment,$20 ,$17 ,"$17, - ,$20","Which popular attractions are close to Flower Apartment?, ,What are some of the property amenities at Flower Apartment?, ,Is parking available at Flower Apartment?, ,What are some restaurants close to Flower Apartment?, ",,,,,3.0 of 5 bubbles,23,,20,,,https://www.tripadvisor.com/Hotel_Review-g298085-d14135294-Reviews-Flower_Apartment-Da_Nang.html
"21 Ha Bong, Da Nang Vietnam",11,87,11,"English, Vietnamese",Anh Duong 2,$38 ,$15 ,"$15, - ,$38","Which popular attractions are close to Anh Duong 2?, ,What are some of the property amenities at Anh Duong 2?, ,Is parking available at Anh Duong 2?, ,What are some restaurants close to Anh Duong 2?, ,Does Anh Duong 2 have airport transportation?, ",11,11 reviews,#161 of 813 Specialty lodging in Da Nang,3.5,2.0 of 5 bubbles,81,Very good,20,,10,https://www.tripadvisor.com/Hotel_Review-g298085-d5280489-Reviews-Anh_Duong_2-Da_Nang.html
"37 Tran Bach Dang street, Da Nang 550000 Vietnam",6,64,,"English, Vietnamese",Osaka Hotel,$26 ,$17 ,"$17, - ,$26","Which popular attractions are close to Osaka Hotel?, ,What are some of the property amenities at Osaka Hotel?, ,What food & drink options are available at Osaka Hotel?, ,Is parking available at Osaka Hotel?, ,What are some restaurants close to Osaka Hotel?, ,Does Osaka Hotel have an airport shuttle?, ,Does Osaka Hotel have airport transportation?, ,Are any cleaning services offered at Osaka Hotel?, ,Are pets allowed at Osaka Hotel?, ,Which languages are spoken by the staff at Osaka Hotel?, ",,7 reviews,#391 of 900 hotels in Da Nang,3.5,2.0 of 5 bubbles,28,Very good,17,Budget,,https://www.tripadvisor.com/Hotel_Review-g298085-d9703772-Reviews-Osaka_Hotel-Da_Nang.html
"16 Nguyen Cao Luyen, Da Nang 550000 Vietnam",9,85,18,,Thi Boutique Villa,$55 ,$18 ,"$18, - ,$55","Which popular attractions are close to Thi Boutique Villa?, ,What are some of the property amenities at Thi Boutique Villa?, ,Which room amenities are available at Thi Boutique Villa?, ,What food & drink options are available at Thi Boutique Villa?, ,Is parking available at Thi Boutique Villa?, ,What are some restaurants close to Thi Boutique Villa?, ",18,11 reviews,#57 of 628 B&Bs / Inns in Da Nang,4.5,,78,Excellent,9,,3,https://www.tripadvisor.com/Hotel_Review-g298085-d17376278-Reviews-Thi_Boutique_Villa-Da_Nang.html
"22 An Nhon 6, Da Nang 550000 Vietnam",5,80,,,Someday House,$26 ,$17 ,"$17, - ,$26","Which popular attractions are close to Someday House?, ",,,,,,25,,5,,,https://www.tripadvisor.com/Hotel_Review-g17786366-d20481155-Reviews-Someday_House-Son_Tra_Peninsula_Da_Nang.html
"Lo 51 Le Van Quy, An Hai Bac, Da Nang Vietnam",6,92,,,Khach San Thuy Duong,$17 ,$17 ,"$17, - ,$17","Which popular attractions are close to Khach San Thuy Duong?, ,What are some restaurants close to Khach San Thuy Duong?, ",,,,,,32,,An Hai Bac,,,https://www.tripadvisor.com/Hotel_Review-g19935676-d19934847-Reviews-Khach_San_Thuy_Duong-An_Hai_Bac_Son_Tra_Peninsula_Da_Nang.html
"195/10 Nguyen Van Thoai, Da Nang 550000 Vietnam",3,82,,,P&B Villa Apartment,$61 ,$28 ,"$28, - ,$61","Which popular attractions are close to P&B Villa Apartment?, ,What are some of the property amenities at P&B Villa Apartment?, ,What food & drink options are available at P&B Villa Apartment?, ,Is parking available at P&B Villa Apartment?, ,What are some restaurants close to P&B Villa Apartment?, ",,,,,,82,,8,,,https://www.tripadvisor.com/Hotel_Review-g17786366-d17886143-Reviews-P_B_Villa_Apartment-Son_Tra_Peninsula_Da_Nang.html
"87 Do Huy Uyen Son Tra, Da Nang Vietnam",4,73,,,Pearl Homestay & Coffee,$17 ,$17 ,"$17, - ,$17","Which popular attractions are close to Pearl Homestay & Coffee?, ,What are some of the property amenities at Pearl Homestay & Coffee?, ,Is parking available at Pearl Homestay & Coffee?, ",,,,,1.0 of 5 bubbles,24,,5,,,https://www.tripadvisor.com/Hotel_Review-g17786366-d15190391-Reviews-Pearl_Homestay_Coffee-Son_Tra_Peninsula_Da_Nang.html
