HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"42, Fansipan St Phan Xi Pang St, Sapa 19999 Vietnam",13,99,99,"English, Vietnamese",,Cat Cat Hotel Sapa,$24,$15,"$15, - ,$24","Which popular attractions are close to Cat Cat Hotel Sapa?, ,What are some of the property amenities at Cat Cat Hotel Sapa?, ,Which room amenities are available at Cat Cat Hotel Sapa?, ,Is parking available at Cat Cat Hotel Sapa?, ,What are some restaurants close to Cat Cat Hotel Sapa?, ,Is Cat Cat Hotel Sapa located near the city center?, ,Which languages are spoken by the staff at Cat Cat Hotel Sapa?, ,Does Cat Cat Hotel Sapa have any great views?, ",32,161,#25 of 229 B&Bs / Inns in Sapa,40,25,114,Very good,8,"Mid-range,Mountain View",,7,https://www.tripadvisor.com/Hotel_Review-g311304-d1451759-Reviews-Cat_Cat_Hotel_Sapa-Sapa_Lao_Cai_Province.html
"122 Nguyen Khoa, Cam Nam, Hoi An Vietnam",2,47,65,,,Coconut Garden Homestay,$50,$16,"$16, - ,$50","Which popular attractions are close to Coconut Garden Homestay?, ,What are some of the property amenities at Coconut Garden Homestay?, ,Which room amenities are available at Coconut Garden Homestay?, ,What food & drink options are available at Coconut Garden Homestay?, ,Is parking available at Coconut Garden Homestay?, ,What are some restaurants close to Coconut Garden Homestay?, ,Does Coconut Garden Homestay have airport transportation?, ,Are there any historical sites close to Coconut Garden Homestay?, ",10,162,#3 of 399 Specialty lodging in Hoi An,50,20,27,Excellent,6,"Family,Charming",,9,https://www.tripadvisor.com/Hotel_Review-g298082-d9794040-Reviews-Coconut_Garden_Homestay-Hoi_An_Quang_Nam_Province.html
"39 Tran Cao Van Street, Hoi An Vietnam",127,93,48,"English, Vietnamese",,Hoi An Dream City Hotel,$25,$17,"$17, - ,$25","Which popular attractions are close to Hoi An Dream City Hotel?, ,What are some of the property amenities at Hoi An Dream City Hotel?, ,Which room amenities are available at Hoi An Dream City Hotel?, ,What food & drink options are available at Hoi An Dream City Hotel?, ,Is parking available at Hoi An Dream City Hotel?, ,What are some restaurants close to Hoi An Dream City Hotel?, ,Are there opportunities to exercise at Hoi An Dream City Hotel?, ,Does Hoi An Dream City Hotel have an airport shuttle?, ,Does Hoi An Dream City Hotel have airport transportation?, ,Is Hoi An Dream City Hotel located near the city center?, ,Which languages are spoken by the staff at Hoi An Dream City Hotel?, ",43,162,#90 of 405 hotels in Hoi An,45,20,168,Excellent,30,"Centrally Located,Family",,14,https://www.tripadvisor.com/Hotel_Review-g298082-d13238389-Reviews-Hoi_An_Dream_City_Hotel-Hoi_An_Quang_Nam_Province.html
"No 21 Ma May Street Hoan Kiem, Hanoi 10000 Vietnam",125,100,30,,,Green Street Hotel,30,Vietnam,"Vietnam,Hanoi,30","Which popular attractions are close to Green Street Hotel?, ,What are some of the property amenities at Green Street Hotel?, ,What food & drink options are available at Green Street Hotel?, ,Is parking available at Green Street Hotel?, ,What are some restaurants close to Green Street Hotel?, ,Does Green Street Hotel have an airport shuttle?, ,Does Green Street Hotel have airport transportation?, ,Is Green Street Hotel located near the city center?, ,Are any cleaning services offered at Green Street Hotel?, ,Are pets allowed at Green Street Hotel?, ,Are there any historical sites close to Green Street Hotel?, ",14,161,"#95 of 1,074 B&Bs / Inns in Hanoi",40,25,509,Very good,30,"Budget,Centrally Located",,5,https://www.tripadvisor.com/Hotel_Review-g293924-d1876201-Reviews-Green_Street_Hotel-Hanoi.html
"69 Nguyen Phuc Chu Street 26 La Hoi Street, Hoi An Vietnam",157,100,88,"English, Korean, Vietnamese",,Sunset Hoi An Hotel,$33,$31,"$31, - ,$33","Which popular attractions are close to Sunset Hoi An Hotel?, ,What are some of the property amenities at Sunset Hoi An Hotel?, ,Which room amenities are available at Sunset Hoi An Hotel?, ,What food & drink options are available at Sunset Hoi An Hotel?, ,Is parking available at Sunset Hoi An Hotel?, ,What are some restaurants close to Sunset Hoi An Hotel?, ,Are there opportunities to exercise at Sunset Hoi An Hotel?, ,Does Sunset Hoi An Hotel have airport transportation?, ,Is Sunset Hoi An Hotel located near the city center?, ,Are any cleaning services offered at Sunset Hoi An Hotel?, ",37,162,#184 of 454 B&Bs / Inns in Hoi An,40,20,282,Very good,59,Centrally Located,,19,https://www.tripadvisor.com/Hotel_Review-g298082-d12606212-Reviews-Sunset_Hoi_An_Hotel-Hoi_An_Quang_Nam_Province.html
"20 Tran Phu Street, Loc Tho Ward, Nha Trang 65000 Vietnam",10,90,264,"Chinese, Vietnamese",,Diamond Bay Hotel,$137,$61,"$61, - ,$137","Which popular attractions are close to Diamond Bay Hotel?, ,What are some of the property amenities at Diamond Bay Hotel?, ,Which room amenities are available at Diamond Bay Hotel?, ,What food & drink options are available at Diamond Bay Hotel?, ,Is parking available at Diamond Bay Hotel?, ,What are some restaurants close to Diamond Bay Hotel?, ,Are there opportunities to exercise at Diamond Bay Hotel?, ,Does Diamond Bay Hotel have airport transportation?, ,Is Diamond Bay Hotel located near the city center?, ,Are any cleaning services offered at Diamond Bay Hotel?, ,Does Diamond Bay Hotel offer any business services?, ",69,163,#56 of 612 hotels in Nha Trang,45,45,46,Excellent,275,"Charming,Great View",,16,https://www.tripadvisor.com/Hotel_Review-g293928-d10073453-Reviews-Diamond_Bay_Hotel-Nha_Trang_Khanh_Hoa_Province.html
"3/1 Tran Quang Khai Street, Nha Trang Vietnam",34,89,195,"English, Vietnamese",,Golden Holiday Hotel,$65,$15,"$15, - ,$65","Which popular attractions are close to Golden Holiday Hotel?, ,What are some of the property amenities at Golden Holiday Hotel?, ,Which room amenities are available at Golden Holiday Hotel?, ,What food & drink options are available at Golden Holiday Hotel?, ,Is parking available at Golden Holiday Hotel?, ,What are some restaurants close to Golden Holiday Hotel?, ,Are there opportunities to exercise at Golden Holiday Hotel?, ,Does Golden Holiday Hotel have airport transportation?, ,Which languages are spoken by the staff at Golden Holiday Hotel?, ,Are there any historical sites close to Golden Holiday Hotel?, ",38,163,#147 of 612 hotels in Nha Trang,35,30,130,Very good,48,"Centrally Located,Modern",,235,https://www.tripadvisor.com/Hotel_Review-g293928-d6765121-Reviews-Golden_Holiday_Hotel-Nha_Trang_Khanh_Hoa_Province.html
"305 Tran Hung Dao Son Tra District, Da Nang 550000 Vietnam",3,72,120,,,Palmier Hotel & Apartment,$43,$15,"$15, - ,$43","Which popular attractions are close to Palmier Hotel & Apartment?, ,What are some of the property amenities at Palmier Hotel & Apartment?, ,Which room amenities are available at Palmier Hotel & Apartment?, ,What food & drink options are available at Palmier Hotel & Apartment?, ,Is parking available at Palmier Hotel & Apartment?, ,What are some restaurants close to Palmier Hotel & Apartment?, ,Does Palmier Hotel & Apartment have airport transportation?, ,Are any cleaning services offered at Palmier Hotel & Apartment?, ,Does Palmier Hotel & Apartment offer any business services?, ,Is Palmier Hotel & Apartment accessible?, ",37,164,#50 of 900 hotels in Da Nang,45,30,24,Excellent,30,"Modern,Business",,32,https://www.tripadvisor.com/Hotel_Review-g298085-d8299463-Reviews-Palmier_Hotel_Apartment-Da_Nang.html
"168a Nguyen Duy Hieu Street, Hoi An 560000 Vietnam",13,82,86,"English, Vietnamese",,Ivy Villa Hoi An,$32,$22,"$22, - ,$32","Which popular attractions are close to Ivy Villa Hoi An?, ,What are some of the property amenities at Ivy Villa Hoi An?, ,Which room amenities are available at Ivy Villa Hoi An?, ,What food & drink options are available at Ivy Villa Hoi An?, ,Is parking available at Ivy Villa Hoi An?, ,What are some restaurants close to Ivy Villa Hoi An?, ,Are there opportunities to exercise at Ivy Villa Hoi An?, ,Does Ivy Villa Hoi An have an airport shuttle?, ,Does Ivy Villa Hoi An have airport transportation?, ,Is Ivy Villa Hoi An located near the city center?, ,Are any cleaning services offered at Ivy Villa Hoi An?, ",17,164,#9 of 399 Specialty lodging in Hoi An,50,20,55,Excellent,14,"Trendy,Business",,8,https://www.tripadvisor.com/Hotel_Review-g298082-d11930897-Reviews-Ivy_Villa_Hoi_An-Hoi_An_Quang_Nam_Province.html
"Xuan Dam, Hai Phong Vietnam",NA,NA,114,"English, Vietnamese",,Cat Ba Eco Lodge,$74,$40,"$40, - ,$74","Which popular attractions are close to Cat Ba Eco Lodge?, ,What are some of the property amenities at Cat Ba Eco Lodge?, ,Which room amenities are available at Cat Ba Eco Lodge?, ,What food & drink options are available at Cat Ba Eco Lodge?, ,Is parking available at Cat Ba Eco Lodge?, ,What are some restaurants close to Cat Ba Eco Lodge?, ,Are there opportunities to exercise at Cat Ba Eco Lodge?, ,Are pets allowed at Cat Ba Eco Lodge?, ",13,161,#1 of 2 hotels in Xuan Dam,40,NA,NA,Very good,18,NA,,10,https://www.tripadvisor.com/Hotel_Review-g17697953-d11677952-Reviews-Cat_Ba_Eco_Lodge-Xuan_Dam_Hai_Phong.html
"02 Nguyen Van Cu Street Ninh Kieu District, Can Tho Vietnam",NA,NA,105,,,Van Phat Riverside Hotel,$36,$26,"$26, - ,$36","Which popular attractions are close to Van Phat Riverside Hotel?, ,What are some of the property amenities at Van Phat Riverside Hotel?, ,Which room amenities are available at Van Phat Riverside Hotel?, ,What food & drink options are available at Van Phat Riverside Hotel?, ,Is parking available at Van Phat Riverside Hotel?, ,What are some restaurants close to Van Phat Riverside Hotel?, ,Are there opportunities to exercise at Van Phat Riverside Hotel?, ,Does Van Phat Riverside Hotel have an airport shuttle?, ,Are any cleaning services offered at Van Phat Riverside Hotel?, ,Does Van Phat Riverside Hotel offer any business services?, ,Are there any historical sites close to Van Phat Riverside Hotel?, ",61,164,#21 of 146 hotels in Can Tho,35,30,NA,Very good,89,NA,,24,https://www.tripadvisor.com/Hotel_Review-g303942-d3240221-Reviews-Van_Phat_Riverside_Hotel-Can_Tho_Mekong_Delta.html
"8 Nguyen Duc Thuan, Ba Ria-Vung Tau Province 79000 Vietnam",NA,NA,227,"English, Vietnamese",,Con Dao Resort,$129,$80,"$80, - ,$129","Which popular attractions are close to Con Dao Resort?, ,What are some of the property amenities at Con Dao Resort?, ,Which room amenities are available at Con Dao Resort?, ,What food & drink options are available at Con Dao Resort?, ,Is parking available at Con Dao Resort?, ,What are some restaurants close to Con Dao Resort?, ,Are there opportunities to exercise at Con Dao Resort?, ,Does Con Dao Resort have an airport shuttle?, ,Does Con Dao Resort have airport transportation?, ,Are any cleaning services offered at Con Dao Resort?, ",52,164,#9 of 33 hotels in Con Son,30,30,NA,Average,97,Family,,8,https://www.tripadvisor.com/Hotel_Review-g1024873-d1950225-Reviews-Con_Dao_Resort-Con_Son_Con_Dao_Islands_Ba_Ria_Vung_Tau_Province.html
"Coc Toc Village Nam Mau commune, Ba Be National Park Vietnam",NA,NA,127,"English, Korean",,Mr Linh's Homestay,$43,$26,"$26, - ,$43","Which popular attractions are close to Mr Linh's Homestay?, ,What are some of the property amenities at Mr Linh's Homestay?, ,Which room amenities are available at Mr Linh's Homestay?, ,What food & drink options are available at Mr Linh's Homestay?, ,Is parking available at Mr Linh's Homestay?, ,Does Mr Linh's Homestay have an airport shuttle?, ,Are pets allowed at Mr Linh's Homestay?, ,Which languages are spoken by the staff at Mr Linh's Homestay?, ,Does Mr Linh's Homestay have any great views?, ",45,163,#2 of 8 B&Bs / Inns in Ba Be National Park,45,NA,NA,Excellent,8,"Lake View,Charming",,14,https://www.tripadvisor.com/Hotel_Review-g4196266-d4678463-Reviews-Mr_Linh_s_Homestay-Ba_Be_National_Park_Bac_Kan_Province.html
"219/8 Pham Ngu Lao, District 1, Ho Chi Minh City Vietnam",34,94,18,"English, Vietnamese",,My My Arthouse,$17,$11,"$11, - ,$17","Which popular attractions are close to My My Arthouse?, ,What are some of the property amenities at My My Arthouse?, ,What are some restaurants close to My My Arthouse?, ,Does My My Arthouse have an airport shuttle?, ,Does My My Arthouse have airport transportation?, ,Which languages are spoken by the staff at My My Arthouse?, ,Are there any historical sites close to My My Arthouse?, ",9,163,"#175 of 1,547 B&Bs / Inns in Ho Chi Minh City",30,NA,207,Average,8,Budget,,9,https://www.tripadvisor.com/Hotel_Review-g293925-d1606651-Reviews-My_My_Arthouse-Ho_Chi_Minh_City.html
"423 Cua Dai Street, Hoi An Vietnam",75,94,57,,,Memority Villas & Spa,$43,$32,"$32, - ,$43","Which popular attractions are close to Memority Villas & Spa?, ,What are some of the property amenities at Memority Villas & Spa?, ,Which room amenities are available at Memority Villas & Spa?, ,What food & drink options are available at Memority Villas & Spa?, ,Is parking available at Memority Villas & Spa?, ,What are some restaurants close to Memority Villas & Spa?, ,Are there opportunities to exercise at Memority Villas & Spa?, ,Does Memority Villas & Spa have an airport shuttle?, ,Does Memority Villas & Spa have airport transportation?, ,Is Memority Villas & Spa located near the city center?, ,Are any cleaning services offered at Memority Villas & Spa?, ",17,164,#175 of 454 B&Bs / Inns in Hoi An,40,30,117,Very good,30,NA,,5,https://www.tripadvisor.com/Hotel_Review-g298082-d3794155-Reviews-Memority_Villas_Spa-Hoi_An_Quang_Nam_Province.html
"383 Dien Bien Phu, Ward 4, District 3, Ho Chi Minh City Vietnam",4,75,17,"English, Vietnamese",,New Life Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to New Life Hotel?, ,What are some of the property amenities at New Life Hotel?, ,Which room amenities are available at New Life Hotel?, ,What food & drink options are available at New Life Hotel?, ,What are some restaurants close to New Life Hotel?, ,Which languages are spoken by the staff at New Life Hotel?, ,Are there any historical sites close to New Life Hotel?, ",2,10,"#154 of 1,891 Specialty lodging in Ho Chi Minh City",40,NA,36,Very good,NA,Family,,1,https://www.tripadvisor.com/Hotel_Review-g293925-d10760468-Reviews-New_Life_Hotel-Ho_Chi_Minh_City.html
"487 Cua Dai St., Hoi An Vietnam",130,94,70,"English, Vietnamese",,Eden Homestay,$25,$17,"$17, - ,$25","Which popular attractions are close to Eden Homestay?, ,What are some of the property amenities at Eden Homestay?, ,Which room amenities are available at Eden Homestay?, ,Is parking available at Eden Homestay?, ,What are some restaurants close to Eden Homestay?, ,Does Eden Homestay have an airport shuttle?, ,Does Eden Homestay have airport transportation?, ,Is Eden Homestay located near the city center?, ,Which languages are spoken by the staff at Eden Homestay?, ",3,165,#50 of 454 B&Bs / Inns in Hoi An,45,30,119,Excellent,7,Romantic,,4,https://www.tripadvisor.com/Hotel_Review-g298082-d7767175-Reviews-Eden_Homestay-Hoi_An_Quang_Nam_Province.html
"305 Nguyen Van Thoai, Phuoc My Ward, Son Tra District, Da Nang 650000 Vietnam",3,77,57,"English, Chinese, Vietnamese",,SOCO Hotel,$33,$12,"$12, - ,$33","Which popular attractions are close to SOCO Hotel?, ,What are some of the property amenities at SOCO Hotel?, ,Which room amenities are available at SOCO Hotel?, ,What food & drink options are available at SOCO Hotel?, ,Is parking available at SOCO Hotel?, ,What are some restaurants close to SOCO Hotel?, ,Are there opportunities to exercise at SOCO Hotel?, ,Does SOCO Hotel have airport transportation?, ,Are any cleaning services offered at SOCO Hotel?, ,Does SOCO Hotel offer any business services?, ,Which languages are spoken by the staff at SOCO Hotel?, ",20,165,#169 of 900 hotels in Da Nang,35,30,86,Very good,121,NA,,243,https://www.tripadvisor.com/Hotel_Review-g298085-d6460711-Reviews-SOCO_Hotel-Da_Nang.html
"38/1 Road No. 19 Hiep Binh Chanh, Thu Duc, Ho Chi Minh City 700000 Vietnam",NA,NA,NA,"French, Chinese, Vietnamese",,Harry Homestay,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Harry Homestay?, ,What are some of the property amenities at Harry Homestay?, ,Which room amenities are available at Harry Homestay?, ,Is parking available at Harry Homestay?, ,What are some restaurants close to Harry Homestay?, ,Are pets allowed at Harry Homestay?, ,Which languages are spoken by the staff at Harry Homestay?, ,Are there any historical sites close to Harry Homestay?, ",NA,4,"#211 of 1,891 Specialty lodging in Ho Chi Minh City",50,10,NA,Excellent,NA,Budget,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d14206699-Reviews-Harry_Homestay-Ho_Chi_Minh_City.html
"270 De Tham Street, District 1, Ho Chi Minh City Vietnam",87,98,5,"English, French, Vietnamese",,SAIGON Downtown B&B,5,Vietnam,"Vietnam,Ho Chi Minh City,5","Which popular attractions are close to SAIGON Downtown B&B?, ,What are some of the property amenities at SAIGON Downtown B&B?, ,Which room amenities are available at SAIGON Downtown B&B?, ,What food & drink options are available at SAIGON Downtown B&B?, ,What are some restaurants close to SAIGON Downtown B&B?, ,Does SAIGON Downtown B&B have airport transportation?, ,Are any cleaning services offered at SAIGON Downtown B&B?, ,Which languages are spoken by the staff at SAIGON Downtown B&B?, ",12,7,"#151 of 1,891 Specialty lodging in Ho Chi Minh City",50,20,514,Excellent,5,Budget,,10,https://www.tripadvisor.com/Hotel_Review-g293925-d12215430-Reviews-SAIGON_Downtown_B_B-Ho_Chi_Minh_City.html
"2 283, Pham Ngu Lao, Ho Chi Minh City 70000 Vietnam",68,97,NA,,,Ngoc Han Hotel,10,Vietnam,"Vietnam,Ho Chi Minh City,10","Which popular attractions are close to Ngoc Han Hotel?, ,What are some restaurants close to Ngoc Han Hotel?, ",NA,5,"#214 of 1,891 Specialty lodging in Ho Chi Minh City",50,10,478,Excellent,10,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d6163777-Reviews-Ngoc_Han_Hotel-Ho_Chi_Minh_City.html
"96 Dong Da, Chau Doc 880000 Vietnam",2,72,129,"English, French, Vietnamese",,Hung Cuong Hotel,$29,$23,"$23, - ,$29","Which popular attractions are close to Hung Cuong Hotel?, ,What are some of the property amenities at Hung Cuong Hotel?, ,What food & drink options are available at Hung Cuong Hotel?, ,Is parking available at Hung Cuong Hotel?, ,What are some restaurants close to Hung Cuong Hotel?, ,Are pets allowed at Hung Cuong Hotel?, ,Which languages are spoken by the staff at Hung Cuong Hotel?, ,Are there any historical sites close to Hung Cuong Hotel?, ",75,165,#5 of 31 hotels in Chau Doc,35,30,24,Very good,45,"Modern,Family",,5,https://www.tripadvisor.com/Hotel_Review-g311303-d7391726-Reviews-Hung_Cuong_Hotel-Chau_Doc_An_Giang_Province.html
"Truong Phap street, Dong Hoi 510000 Vietnam",1,36,144,,,Beachside Backpackers,$24,$16,"$16, - ,$24","Which popular attractions are close to Beachside Backpackers?, ,What are some of the property amenities at Beachside Backpackers?, ,What food & drink options are available at Beachside Backpackers?, ,Is parking available at Beachside Backpackers?, ,What are some restaurants close to Beachside Backpackers?, ,Does Beachside Backpackers have airport transportation?, ,Does Beachside Backpackers have any great views?, ",8,166,#3 of 73 Specialty lodging in Dong Hoi,45,NA,10,Excellent,7,Budget,,5,https://www.tripadvisor.com/Hotel_Review-g659924-d8527355-Reviews-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
"259 Le Van Luong Street, Dist 7 BMC Building, Ho Chi Minh City 70000 Vietnam",9,45,10,,,Le Soleil B&B,3,Vietnam,"Vietnam,Ho Chi Minh City,3","Which popular attractions are close to Le Soleil B&B?, ,What are some of the property amenities at Le Soleil B&B?, ,Which room amenities are available at Le Soleil B&B?, ,What food & drink options are available at Le Soleil B&B?, ,What are some restaurants close to Le Soleil B&B?, ,Are there any historical sites close to Le Soleil B&B?, ",48,4,"#216 of 1,891 Specialty lodging in Ho Chi Minh City",50,NA,28,Excellent,3,NA,,9,https://www.tripadvisor.com/Hotel_Review-g293925-d10153823-Reviews-Le_Soleil_B_B-Ho_Chi_Minh_City.html
"270/2 Le Thanh Ton, Ho Chi Minh City 700000 Vietnam",99,100,NA,,,Christina's Saigon - The Schatz House,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Christina's Saigon - The Schatz House?, ,What are some restaurants close to Christina's Saigon - The Schatz House?, ,Are there any historical sites close to Christina's Saigon - The Schatz House?, ",NA,8,"#127 of 1,891 Specialty lodging in Ho Chi Minh City",50,NA,426,Excellent,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d14097694-Reviews-Christina_s_Saigon_The_Schatz_House-Ho_Chi_Minh_City.html
"7/9 Nguyen Trai Street District 1, Ho Chi Minh City 700000 Vietnam",86,100,101,"English, Vietnamese",,AHA Boutique Ben Thanh,$33,$18,"$18, - ,$33","Which popular attractions are close to AHA Boutique Ben Thanh?, ,What are some of the property amenities at AHA Boutique Ben Thanh?, ,Which room amenities are available at AHA Boutique Ben Thanh?, ,What food & drink options are available at AHA Boutique Ben Thanh?, ,What are some restaurants close to AHA Boutique Ben Thanh?, ,Which languages are spoken by the staff at AHA Boutique Ben Thanh?, ,Are there any historical sites close to AHA Boutique Ben Thanh?, ",21,166,"#205 of 1,555 hotels in Ho Chi Minh City",35,25,455,Very good,46,"Mid-range,Modern",,10,https://www.tripadvisor.com/Hotel_Review-g293925-d3222913-Reviews-AHA_Boutique_Ben_Thanh-Ho_Chi_Minh_City.html
"Ky Son village Xuan Son Commune, Son Tay District, Hanoi 10000 Vietnam",NA,NA,160,"English, Vietnamese",,Moon Garden Homestay,$64,$31,"$31, - ,$64","Which popular attractions are close to Moon Garden Homestay?, ,What are some of the property amenities at Moon Garden Homestay?, ,Which room amenities are available at Moon Garden Homestay?, ,What food & drink options are available at Moon Garden Homestay?, ,Is parking available at Moon Garden Homestay?, ,What are some restaurants close to Moon Garden Homestay?, ,Are pets allowed at Moon Garden Homestay?, ,Which languages are spoken by the staff at Moon Garden Homestay?, ,Are there any historical sites close to Moon Garden Homestay?, ",73,166,"#39 of 1,074 B&Bs / Inns in Hanoi",50,30,NA,Excellent,8,"Romantic,Charming",,30,https://www.tripadvisor.com/Hotel_Review-g293924-d1945909-Reviews-Moon_Garden_Homestay-Hanoi.html
"306 2/9 Street, Hai Chau, Da Nang, Da Nang 59000 Vietnam",2,67,161,Vietnamese,,Minh Toan Galaxy,$65,$36,"$36, - ,$65","Which popular attractions are close to Minh Toan Galaxy?, ,What are some of the property amenities at Minh Toan Galaxy?, ,Which room amenities are available at Minh Toan Galaxy?, ,What food & drink options are available at Minh Toan Galaxy?, ,Is parking available at Minh Toan Galaxy?, ,What are some restaurants close to Minh Toan Galaxy?, ,Are there opportunities to exercise at Minh Toan Galaxy?, ,Does Minh Toan Galaxy have airport transportation?, ,Is Minh Toan Galaxy located near the city center?, ,Are any cleaning services offered at Minh Toan Galaxy?, ,Does Minh Toan Galaxy offer any business services?, ",25,166,#158 of 900 hotels in Da Nang,40,40,10,Very good,175,"Great View,Modern",,24,https://www.tripadvisor.com/Hotel_Review-g298085-d6599489-Reviews-Minh_Toan_Galaxy-Da_Nang.html
"23b Cau May Lao Cai, Sapa Vietnam",17,100,57,,,Cha Pa Garden Boutique Hotel & Spa,Sapa,Vietnam,"Vietnam,Lao Cai Province,Sapa","Which popular attractions are close to Cha Pa Garden Boutique Hotel & Spa?, ,What are some of the property amenities at Cha Pa Garden Boutique Hotel & Spa?, ,Which room amenities are available at Cha Pa Garden Boutique Hotel & Spa?, ,What food & drink options are available at Cha Pa Garden Boutique Hotel & Spa?, ,What are some restaurants close to Cha Pa Garden Boutique Hotel & Spa?, ,Does Cha Pa Garden Boutique Hotel & Spa have an airport shuttle?, ,Does Cha Pa Garden Boutique Hotel & Spa have airport transportation?, ,Is Cha Pa Garden Boutique Hotel & Spa located near the city center?, ,Are any cleaning services offered at Cha Pa Garden Boutique Hotel & Spa?, ",27,166,#58 of 181 hotels in Sapa,45,NA,135,Excellent,4,NA,,6,https://www.tripadvisor.com/Hotel_Review-g311304-d800560-Reviews-Cha_Pa_Garden_Boutique_Hotel_Spa-Sapa_Lao_Cai_Province.html
"045 Muong Hoa, Sapa Vietnam",10,99,59,"English, Vietnamese",,Green Valley Hotel,$14,$13,"$13, - ,$14","Which popular attractions are close to Green Valley Hotel?, ,What are some of the property amenities at Green Valley Hotel?, ,What food & drink options are available at Green Valley Hotel?, ,Is parking available at Green Valley Hotel?, ,What are some restaurants close to Green Valley Hotel?, ,Is Green Valley Hotel located near the city center?, ,Are any cleaning services offered at Green Valley Hotel?, ,Which languages are spoken by the staff at Green Valley Hotel?, ",24,167,#43 of 294 Specialty lodging in Sapa,35,20,91,Very good,26,Budget,,12,https://www.tripadvisor.com/Hotel_Review-g311304-d1760491-Reviews-Green_Valley_Hotel-Sapa_Lao_Cai_Province.html
"28-29-30 Khu Dan Cu Duong 34, Tran Nao, Binh An, Quan 2, Ho Chi Minh City 700000 Vietnam",NA,NA,16,"English, Vietnamese",,Lam Villa Riverside,22,Vietnam,"Vietnam,Ho Chi Minh City,22","Which popular attractions are close to Lam Villa Riverside?, ,What are some of the property amenities at Lam Villa Riverside?, ,Which room amenities are available at Lam Villa Riverside?, ,Is parking available at Lam Villa Riverside?, ,What are some restaurants close to Lam Villa Riverside?, ,Are there opportunities to exercise at Lam Villa Riverside?, ,Are any cleaning services offered at Lam Villa Riverside?, ,Are pets allowed at Lam Villa Riverside?, ,Which languages are spoken by the staff at Lam Villa Riverside?, ,Are there any historical sites close to Lam Villa Riverside?, ",10,5,"#120 of 1,547 B&Bs / Inns in Ho Chi Minh City",50,NA,NA,Excellent,22,NA,,10,https://www.tripadvisor.com/Hotel_Review-g293925-d23687729-Reviews-Lam_Villa_Riverside-Ho_Chi_Minh_City.html
"No.2, Street C Tan Phu Ward, District 7, Ho Chi Minh City 70000 Vietnam",7,56,80,"English, Vietnamese",,Capri by Fraser Ho Chi Minh,$105,$72,"$72, - ,$105","Which popular attractions are close to Capri by Fraser Ho Chi Minh?, ,What are some of the property amenities at Capri by Fraser Ho Chi Minh?, ,Which room amenities are available at Capri by Fraser Ho Chi Minh?, ,What food & drink options are available at Capri by Fraser Ho Chi Minh?, ,Is parking available at Capri by Fraser Ho Chi Minh?, ,What are some restaurants close to Capri by Fraser Ho Chi Minh?, ,Are there opportunities to exercise at Capri by Fraser Ho Chi Minh?, ,Does Capri by Fraser Ho Chi Minh have an airport shuttle?, ,Does Capri by Fraser Ho Chi Minh have airport transportation?, ,Are any cleaning services offered at Capri by Fraser Ho Chi Minh?, ,Does Capri by Fraser Ho Chi Minh offer any business services?, ",52,169,"#112 of 1,555 hotels in Ho Chi Minh City",45,40,75,Excellent,175,"Modern,Business",,15,https://www.tripadvisor.com/Hotel_Review-g293925-d3641390-Reviews-Capri_by_Fraser_Ho_Chi_Minh-Ho_Chi_Minh_City.html
"79/1 Nguyen Thien Thuat Street, Nha Trang 058352 Vietnam",42,91,11,"English, Vietnamese",,Reunion Hostel,Khanh Hoa Province,True Friends Inn,"True Friends Inn,Vietnam,Khanh Hoa Province","Which popular attractions are close to Reunion Hostel?, ,What are some of the property amenities at Reunion Hostel?, ,What food & drink options are available at Reunion Hostel?, ,Is parking available at Reunion Hostel?, ,What are some restaurants close to Reunion Hostel?, ,Does Reunion Hostel have an airport shuttle?, ,Is Reunion Hostel located near the city center?, ,Are any cleaning services offered at Reunion Hostel?, ,Which languages are spoken by the staff at Reunion Hostel?, ,Are there any historical sites close to Reunion Hostel?, ",13,167,#6 of 512 Specialty lodging in Nha Trang,45,NA,201,Excellent,7,Budget,,5,https://www.tripadvisor.com/Hotel_Review-g293928-d2643676-Reviews-Reunion_Hostel-Nha_Trang_Khanh_Hoa_Province.html
